order_number,product,order_amount,sales_tax,customer,order_date,delivery_date,Description,Activity_Name
ORD_00001,Home Kit,795,99.375,CONT00091,25/12/2018 7:44,30/12/2018 7:44,Home Kit - $795,online order
ORD_00002,Starter Kit,429,53.625,CONT0007,11/06/2019 22:34,16/06/2019 22:34,Starter Kit - $429,online order
ORD_00003,Home Kit,242,30.25,CONT00051,29/06/2019 10:21,1/07/2019 10:21,Home Kit - $242,online order
ORD_00004,Professional Kit,266,33.25,CONT00094,11/08/2018 8:48,14/08/2018 8:48,Professional Kit - $266,online order
ORD_00005,Home Kit,623,77.875,CONT00095,4/04/2019 7:31,6/04/2019 7:31,Home Kit - $623,online order
ORD_00006,Professional Kit,333,41.625,CONT00090,5/06/2019 12:39,7/06/2019 12:39,Professional Kit - $333,online order
ORD_00007,Starter Kit,965,120.625,CONT00060,15/12/2018 21:15,20/12/2018 21:15,Starter Kit - $965,online order
ORD_00008,Starter Kit,767,95.875,CONT00043,7/05/2019 11:44,11/05/2019 11:44,Starter Kit - $767,online order
ORD_00009,Starter Kit,313,39.125,CONT00035,3/12/2018 15:25,5/12/2018 15:25,Starter Kit - $313,online order
ORD_000010,Home Kit,318,39.75,CONT00070,23/06/2019 6:42,24/06/2019 6:42,Home Kit - $318,online order
ORD_000011,Home Kit,298,37.25,CONT00028,27/09/2018 7:54,28/09/2018 7:54,Home Kit - $298,online order
ORD_000012,Professional Kit,585,73.125,CONT00020,13/01/2019 19:45,17/01/2019 19:45,Professional Kit - $585,online order
ORD_000013,Starter Kit,416,52,CONT00084,13/09/2018 8:39,18/09/2018 8:39,Starter Kit - $416,online order
ORD_000014,Starter Kit,783,97.875,CONT00077,26/07/2019 18:02,30/07/2019 18:02,Starter Kit - $783,online order
ORD_000015,Starter Kit,961,120.125,CONT0005,12/12/2018 21:21,16/12/2018 21:21,Starter Kit - $961,online order
ORD_000016,Starter Kit,837,104.625,CONT0007,10/04/2019 15:13,12/04/2019 15:13,Starter Kit - $837,online order
ORD_000017,Professional Kit,664,83,CONT00065,4/10/2018 8:50,6/10/2018 8:50,Professional Kit - $664,online order
ORD_000018,Professional Kit,546,68.25,CONT00065,26/08/2018 15:58,30/08/2018 15:58,Professional Kit - $546,online order
ORD_000019,Home Kit,736,92,CONT0008,5/04/2019 15:51,7/04/2019 15:51,Home Kit - $736,online order
ORD_000020,Starter Kit,891,111.375,CONT0007,27/03/2019 11:06,1/04/2019 11:06,Starter Kit - $891,online order
ORD_000021,Professional Kit,595,74.375,CONT00097,3/06/2019 13:44,7/06/2019 13:44,Professional Kit - $595,online order
ORD_000022,Home Kit,162,20.25,CONT000100,4/05/2019 7:43,5/05/2019 7:43,Home Kit - $162,online order
ORD_000023,Starter Kit,266,33.25,CONT00022,24/11/2018 21:37,26/11/2018 21:37,Starter Kit - $266,online order
ORD_000024,Professional Kit,104,13,CONT00072,31/03/2019 22:37,2/04/2019 22:37,Professional Kit - $104,online order
ORD_000025,Home Kit,399,49.875,CONT0007,28/04/2019 15:06,3/05/2019 15:06,Home Kit - $399,online order
ORD_000026,Home Kit,702,87.75,CONT00014,13/05/2019 13:47,18/05/2019 13:47,Home Kit - $702,online order
ORD_000027,Home Kit,567,70.875,CONT0001,19/02/2019 6:12,24/02/2019 6:12,Home Kit - $567,online order
ORD_000028,Home Kit,534,66.75,CONT00017,23/01/2019 15:18,26/01/2019 15:18,Home Kit - $534,online order
ORD_000029,Home Kit,422,52.75,CONT00044,1/09/2018 12:49,3/09/2018 12:49,Home Kit - $422,online order
ORD_000030,Professional Kit,276,34.5,CONT0001,11/02/2019 16:20,15/02/2019 16:20,Professional Kit - $276,online order
ORD_000031,Starter Kit,129,16.125,CONT00065,16/03/2019 17:30,17/03/2019 17:30,Starter Kit - $129,online order
ORD_000032,Professional Kit,518,64.75,CONT00041,27/09/2018 15:23,1/10/2018 15:23,Professional Kit - $518,online order
ORD_000033,Home Kit,757,94.625,CONT0003,2/11/2018 15:26,7/11/2018 15:26,Home Kit - $757,online order
ORD_000034,Starter Kit,954,119.25,CONT0003,4/01/2019 13:41,7/01/2019 13:41,Starter Kit - $954,online order
ORD_000035,Professional Kit,893,111.625,CONT00024,16/03/2019 19:32,20/03/2019 19:32,Professional Kit - $893,online order
ORD_000036,Home Kit,982,122.75,CONT00024,9/04/2019 13:56,12/04/2019 13:56,Home Kit - $982,online order
ORD_000037,Home Kit,298,37.25,CONT00020,16/09/2018 0:41,19/09/2018 0:41,Home Kit - $298,online order
ORD_000038,Professional Kit,841,105.125,CONT00034,16/05/2019 15:48,18/05/2019 15:48,Professional Kit - $841,online order
ORD_000039,Professional Kit,553,69.125,CONT0001,14/09/2018 14:40,16/09/2018 14:40,Professional Kit - $553,online order
ORD_000040,Professional Kit,790,98.75,CONT00061,17/10/2018 17:14,18/10/2018 17:14,Professional Kit - $790,online order
ORD_000041,Starter Kit,889,111.125,CONT00059,6/01/2019 21:26,7/01/2019 21:26,Starter Kit - $889,online order
ORD_000042,Home Kit,978,122.25,CONT00096,10/07/2019 7:09,13/07/2019 7:09,Home Kit - $978,online order
ORD_000043,Home Kit,702,87.75,CONT00090,26/08/2018 7:13,27/08/2018 7:13,Home Kit - $702,online order
ORD_000044,Home Kit,392,49,CONT0005,9/04/2019 15:23,10/04/2019 15:23,Home Kit - $392,online order
ORD_000045,Home Kit,195,24.375,CONT00092,5/07/2019 22:44,7/07/2019 22:44,Home Kit - $195,online order
ORD_000046,Professional Kit,809,101.125,CONT00075,20/10/2018 17:24,23/10/2018 17:24,Professional Kit - $809,online order
ORD_000047,Professional Kit,250,31.25,CONT00062,24/11/2018 14:04,27/11/2018 14:04,Professional Kit - $250,online order
ORD_000048,Home Kit,486,60.75,CONT00040,10/11/2018 14:40,15/11/2018 14:40,Home Kit - $486,online order
ORD_000049,Professional Kit,792,99,CONT00046,26/09/2018 8:57,28/09/2018 8:57,Professional Kit - $792,online order
ORD_000050,Home Kit,270,33.75,CONT00012,28/08/2018 0:58,31/08/2018 0:58,Home Kit - $270,online order
ORD_000051,Home Kit,587,73.375,CONT0004,24/08/2018 9:38,26/08/2018 9:38,Home Kit - $587,online order
ORD_000052,Starter Kit,944,118,CONT00079,4/11/2018 19:59,9/11/2018 19:59,Starter Kit - $944,online order
ORD_000053,Starter Kit,981,122.625,CONT00016,17/12/2018 2:58,19/12/2018 2:58,Starter Kit - $981,online order
ORD_000054,Home Kit,248,31,CONT00065,29/10/2018 9:28,31/10/2018 9:28,Home Kit - $248,online order
ORD_000055,Professional Kit,204,25.5,CONT00087,17/08/2018 19:30,19/08/2018 19:30,Professional Kit - $204,online order
ORD_000056,Professional Kit,728,91,CONT00098,29/08/2018 7:43,2/09/2018 7:43,Professional Kit - $728,online order
ORD_000057,Home Kit,241,30.125,CONT00017,13/11/2018 4:04,16/11/2018 4:04,Home Kit - $241,online order
ORD_000058,Professional Kit,828,103.5,CONT0008,22/10/2018 16:51,25/10/2018 16:51,Professional Kit - $828,online order
ORD_000059,Professional Kit,430,53.75,CONT00079,8/02/2019 4:48,12/02/2019 4:48,Professional Kit - $430,online order
ORD_000060,Starter Kit,349,43.625,CONT00030,6/05/2019 9:43,9/05/2019 9:43,Starter Kit - $349,online order
ORD_000061,Professional Kit,821,102.625,CONT00047,9/06/2019 0:18,11/06/2019 0:18,Professional Kit - $821,online order
ORD_000062,Home Kit,109,13.625,CONT00048,11/11/2018 23:11,12/11/2018 23:11,Home Kit - $109,online order
ORD_000063,Home Kit,127,15.875,CONT00096,4/10/2018 0:24,7/10/2018 0:24,Home Kit - $127,online order
ORD_000064,Starter Kit,368,46,CONT00057,23/03/2019 18:31,26/03/2019 18:31,Starter Kit - $368,online order
ORD_000065,Home Kit,444,55.5,CONT00051,8/07/2019 6:11,10/07/2019 6:11,Home Kit - $444,online order
ORD_000066,Professional Kit,245,30.625,CONT00041,9/04/2019 8:34,13/04/2019 8:34,Professional Kit - $245,online order
ORD_000067,Starter Kit,601,75.125,CONT00088,5/10/2018 22:54,7/10/2018 22:54,Starter Kit - $601,online order
ORD_000068,Home Kit,404,50.5,CONT00066,2/05/2019 19:34,3/05/2019 19:34,Home Kit - $404,online order
ORD_000069,Professional Kit,254,31.75,CONT00027,28/02/2019 23:58,2/03/2019 23:58,Professional Kit - $254,online order
